File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756099024,22.29,1.45,3021,152,2988,111,43,41
256K,fio-test-1756099029,17.70,4.63,1973,148,1936,108,46,40
1M,fio-test-1756099034,24.29,25.47,2841,142,2794,100,47,41
4M,fio-test-1756099039,30.31,31.78,2637,154,2576,109,142,44
16M,fio-test-1756099044,19.15,20.08,2541,153,2496,112,124,43
64M,fio-test-1756099048,18.79,19.70,1827,159,1672,113,157,46
100M,fio-test-1756099054,14.25,14.95,4615,156,4603,112,129,47
256M,fio-test-1756099059,17.18,18.02,2289,159,2161,115,152,45
1G,fio-test-1756099064,16.30,17.08,1696,156,1561,110,157,46
4G,fio-test-1756099069,15.45,16.20,2194,153,2122,110,151,43
10G,fio-test-1756099074,12.23,12.82,2721,156,2700,112,115,44
