File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756113414,19.86,1.29,1749,160,1717,108,37,51
256K,fio-test-1756113419,18.97,4.96,2005,155,1959,106,46,49
1M,fio-test-1756113424,13.98,14.65,3121,157,3076,109,65,48
4M,fio-test-1756113429,37.67,39.49,2198,162,2095,112,116,50
16M,fio-test-1756113434,81.92,85.90,2943,131,2889,95,216,53
64M,fio-test-1756113439,112.57,118.03,3896,186,3841,118,322,83
100M,fio-test-1756113444,172.81,181.20,3968,193,3562,113,406,79
256M,fio-test-1756113449,232.03,243.29,3057,303,3028,126,707,178
1G,fio-test-1756113454,314.26,329.52,3427,310,3413,132,963,178
4G,fio-test-1756113459,315.69,331.02,3138,379,2758,199,1082,182
10G,fio-test-1756113464,321.84,337.47,2682,378,2044,197,1185,182
