File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1757416585,135.81,8.89,2143,626,2055,118,174,507
256K,fio-test-1757416590,118.25,30.99,1732,647,1659,117,220,542
1M,fio-test-1757416595,120.00,125.83,1477,454,1269,116,354,352
4M,fio-test-1757416600,595.23,624.14,3289,570,2356,130,934,442
16M,fio-test-1757416605,1440.69,1510.67,3813,381,2884,171,930,255
64M,fio-test-1757416610,1979.66,2075.82,6529,506,3443,176,3087,330
100M,fio-test-1757416615,2033.11,2131.87,981,283,380,93,602,189
256M,fio-test-1757416620,1890.02,1981.83,6472,743,3074,254,3505,489
1G,fio-test-1757416625,2210.38,2317.75,6856,538,2866,296,4823,241
4G,fio-test-1757416630,1682.42,1764.14,5932,1238,3016,649,4195,589
10G,fio-test-1757416634,1597.78,1675.39,6240,1288,3351,629,4122,659
