File_Size,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,140.87,147.71,3573,130,3561,103,12,26
1G,161.19,169.02,3772,133,3750,103,23,30
