File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756203168,79.17,5.18,1609,169,1524,111,107,59
256K,fio-test-1756203173,112.11,29.38,2524,210,2354,179,187,57
1M,fio-test-1756203177,72.80,76.33,5143,176,4892,120,252,56
4M,fio-test-1756203183,161.70,169.55,2616,185,2204,127,413,57
16M,fio-test-1756203187,364.14,381.82,4660,155,4388,111,272,44
64M,fio-test-1756203193,637.29,668.25,3945,226,2701,173,1374,52
100M,fio-test-1756203197,623.12,653.38,2759,209,2054,161,1332,49
256M,fio-test-1756203202,679.28,712.27,3187,275,2703,224,1775,52
1G,fio-test-1756203208,595.71,624.65,2827,252,2809,202,1503,52
4G,fio-test-1756203212,767.53,804.80,3448,387,3288,332,1806,57
10G,fio-test-1756203218,673.47,706.18,3358,349,1828,299,1713,54
