File_Size,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,172.39,180.77,3588,136,3422,100,166,35
1G,213.16,223.51,3273,132,3131,100,142,32
