File_Size,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,171.08,179.39,0,0,0,0,0,0
1G,169.39,177.62,2983,139,2726,103,258,35
