File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756115999,18.15,1.18,1757,200,1724,170,38,48
256K,fio-test-1756116004,23.37,6.12,2747,193,2682,163,66,49
1M,fio-test-1756116009,20.21,21.19,3667,147,3613,102,89,48
4M,fio-test-1756116014,57.00,59.77,2740,162,2674,114,196,47
16M,fio-test-1756116019,88.55,92.85,2153,140,2050,99,318,54
64M,fio-test-1756116024,173.10,181.51,2499,175,2362,115,426,74
100M,fio-test-1756116029,286.76,300.69,3606,189,3526,96,680,93
256M,fio-test-1756116034,305.45,320.28,4175,368,4106,126,990,258
1G,fio-test-1756116039,705.30,739.55,4321,398,2938,129,1771,268
4G,fio-test-1756116044,701.90,735.99,4678,476,3422,196,2092,281
10G,fio-test-1756116049,688.90,722.36,3465,481,2835,199,2242,281
