File_Size,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,204.80,214.74,3693,180,3382,105,311,75
1G,523.00,548.40,4316,151,3955,103,362,48
