File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,fio-test-1756056137,112.61,118.07,2160,170,2072,97,88,72
1G,fio-test-1756056142,447.79,469.54,2682,467,2464,116,667,366
