File_Size,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,197.98,207.59,4026,136,3930,104,97,31
1G,158.33,166.02,577,120,564,95,14,25
