File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756060102,17.82,1.16,0,0,0,0,0,0
256K,fio-test-1756060107,25.88,6.78,4103,154,4035,106,69,47
1M,fio-test-1756060112,20.17,21.14,4200,151,4135,103,66,47
4M,fio-test-1756060117,57.72,60.52,3383,161,3169,110,214,50
16M,fio-test-1756060122,75.34,79.00,3358,137,3178,95,181,41
64M,fio-test-1756060127,159.97,167.73,3375,182,2843,117,533,81
100M,fio-test-1756060132,262.99,275.76,0,0,0,0,0,0
256M,fio-test-1756060137,323.27,338.97,3185,372,3171,125,1077,247
1G,fio-test-1756060142,733.20,768.81,5319,499,4805,131,1982,373
4G,fio-test-1756060147,846.68,887.81,4187,578,1762,203,2605,378
10G,fio-test-1756060152,871.66,914.00,5818,573,3291,192,2655,380
