File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756094027,31.48,2.05,2696,135,2633,95,63,40
256K,fio-test-1756094032,24.56,6.43,3456,151,3386,108,73,42
1M,fio-test-1756094037,23.28,24.40,4809,151,4716,108,94,43
4M,fio-test-1756094042,62.14,65.16,2067,135,1918,94,159,41
16M,fio-test-1756094047,89.25,93.58,3416,137,3241,99,175,38
64M,fio-test-1756094052,173.24,181.65,2998,147,2649,103,399,43
100M,fio-test-1756094057,177.65,186.27,4639,140,4385,99,454,40
256M,fio-test-1756094062,190.53,199.78,2615,169,2157,127,463,43
1G,fio-test-1756094067,195.84,205.35,3479,178,3376,136,496,44
4G,fio-test-1756094072,199.01,208.67,5144,208,5027,166,498,43
10G,fio-test-1756094077,192.64,201.99,2361,198,1998,155,492,43
