File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_Mi,FIO_CPU_m,FIO_Memory_Mi,GCS_FUSE_CPU_m,GCS_FUSE_Memory_Mi
100M,ID:,161.04,168.86,581,188,568,161,402,68
1G,ID:,308.94,323.94,2066,490,1729,121,592,368
10G,ID:,491.35,515.22,3603,554,1991,181,2186,374
