File_Size,Job_ID,IOPS,Bandwidth_MBps,Pod_Max_CPU_m,Pod_Max_Memory_MiB,FIO_CPU_m,FIO_Memory_MiB,GCS_FUSE_CPU_m,GCS_FUSE_Memory_MiB
64K,fio-test-1756207574,183.50,12.02,1674,202,1517,115,183,86
256K,fio-test-1756207580,153.34,40.19,1997,203,1838,119,246,89
1M,fio-test-1756207584,203.06,212.92,5092,202,4438,124,655,77
4M,fio-test-1756207589,388.15,407.00,2253,221,1663,138,791,83
16M,fio-test-1756207594,756.24,792.97,5143,189,4189,124,954,64
64M,fio-test-1756207599,1460.15,1531.07,6893,480,2264,173,4630,342
100M,fio-test-1756207604,1860.22,1950.57,3726,443,3268,105,459,338
256M,fio-test-1756207610,2184.77,2290.89,9142,901,2522,251,8305,713
1G,fio-test-1756207615,2284.48,2395.45,9800,1032,2823,297,7921,739
4G,fio-test-1756207620,2323.34,2436.19,10104,1476,3493,816,9285,746
10G,fio-test-1756207625,2511.59,2633.59,13406,1536,3934,831,12554,767
